,word,pola,극성
245,외환시장/NNG;환율/NNG;하락/NNG,0.360682103303,N
246,원화/NNG;약세/NNG;상승/NNG,0.20608521034,N
247,회사채/NNG;신용스프레드/NNG;상승/NNG,0.47348234621,N
248,하방/NNG;압력/NNG,0.376713822414,N
249,재원/NNG,0.486765439702,N
250,숙박업/NNG,0.379047441164,N
251,글로벌/NNG;경기/NNG;둔화/NNG;우려/NNG;확산/NNG,0.396590728564,N
252,잠재/NNG;성장/NNG,0.397098464407,N
253,구분/NNG,0.486998731912,N
254,때늦/VA,0.414971792635,N
255,자산/NNG;가격/NNG;하락/NNG;우려/NNG,0.336561446432,N
256,국제/NNG;유가/NNG;환율/NNG;안정/NNG,0.325138686482,N
257,회사채/NNG;금리/NNG;상승/NNG,0.409155779084,N
258,책정/NNG,0.487930306321,N
259,소비/NNG;확장/NNG,0.412957983999,N
260,금융시장/NNG;불안/NNG;증대/NNG,0.42462311209,N
261,경제/NNG;변동성/NNG;확대/NNG,0.367644860127,N
262,유로존/NNG;탈퇴/NNG;우려/NNG,0.390476050192,N
263,fed/NNG;금리/NNG;인상/NNG;양적완화/NNG,0.418482390372,N
264,장기물/NNG;수요/NNG;강화/NNG,0.407736958286,N
265,영리/NNG,0.397449953215,N
266,지표/NNG;경기/NNG;하락/NNG,0.408628781081,N
267,상하/NNG,0.405148104528,N
268,송유관/NNG,0.395216418925,N
269,소비/NNG;여력/NNG;제약/NNG,0.400839527193,N
270,금융시장/NNG;안정/NNG;경제/NNG;성장/NNG,0.432845117837,N
271,가파/NNG,0.42789447256,N
272,성비/NNG,0.361449935621,N
273,저해/NNG;우려/NNG,0.40625444466,N
274,수입/NNG;축소/NNG,0.418546764477,N
275,은행/NNG;대출/NNG;금리/NNG;오르/VV,0.464993147165,N
276,개선/NNG;제한/NNG,0.461223746131,N
277,노후차/NNG,0.437524821175,N
278,지양/NNG,0.46287686785,N
279,급락/NNG;불안/NNG,0.333800419965,N
280,금리/NNG;ecb/NNG;금리/NNG;인하/NNG,0.39903045767,N
282,지수채권/NNG,0.407253561995,N
283,회사채/NNG;신용위험/NNG,0.406644424676,N
284,세계/NNG;경제/NNG;확장/NNG,0.379709452806,N
285,단기/NNG;외채/NNG;급증/NNG;우려/NNG,0.457519064749,N
286,투자/NNG;수요/NNG;증가/NNG,0.40446580791,N
287,들어서는/VV,0.397565668467,N
288,성장기반/NNG;확충/NNG,0.451827552284,N
289,생긴/VV,0.387830497748,N
290,창의/NNG,0.436360673466,N
291,활발히/MAG,0.328621809394,N
292,불식/NNG,0.457280656677,N
293,금융안정/NNG;우려/NNG,0.382888844783,N
294,재고/NNG;감소/NNG,0.389812816806,N
295,디레버리지/NNG,0.395135299967,N
296,부동산/NNG;가격/NNG;우려/NNG,0.730483431249,N
298,당한/VV,0.450070500062,N
299,급하/VA,0.373663896889,N
300,수출/NNG;수입/NNG;감소/NNG,0.39237290953,N
301,저축은행사태/NNG,0.371707862732,N
302,둔화/NNG;전망/NNG;우세/NNG,0.462152131684,N
303,적자/NNG,0.604999053588,N
304,지준/NNG;감소/NNG,0.472591572744,N
305,경기/NNG;선행/NNG;지수/NNG;증가/NNG,0.391743969462,N
306,안전자산/NNG;선호/NNG;성향/NNG;강화/NNG,0.460470188172,N
307,유례없/VA,0.400487854986,N
308,둔화/NNG;부진/NNG,0.428131551191,N
309,조화/NNG,0.389981370301,N
310,우려/NNG;강세/NNG,0.287819757584,N
311,가격/NNG;상승/NNG;물가/NNG;불안/NNG,0.396014150722,N
312,경기/NNG;악영향/NNG,0.679697593164,N
313,심각/NNG;우려/NNG,0.40166571963,N
314,금리/NNG;하방/NNG;압력/NNG,0.414976803413,N
316,질타/NNG,0.44342617067,N
317,격상/NNG,0.333945431524,N
318,대출비중/NNG;확대/NNG,0.407306291381,N
319,부진/NNG;우려/NNG,0.713599604125,N
320,둔화/NNG;국제/NNG;원자재/NNG;가격/NNG;하락/NNG,0.267035471786,N
321,용이성/NNG,0.48209700508,N
322,개인사업자/NNG;대출/NNG;증가/NNG,0.392129425941,N
323,인플레이션/NNG;완화/NNG,0.426285419588,N
324,똑같이/MAG,0.401760662816,N
325,대폭락/NNG,0.381468294827,N
326,물가/NNG;오르/VV,0.227329546591,N
327,기대/NNG;안전자산/NNG;선호/NNG,0.378355262533,N
328,통화정책/NNG;유효/NNG;약화/NNG,0.452237598618,N
329,당분간/MAG,0.571693573599,N
330,수입/NNG;물가/NNG;상승/NNG,0.366475254937,N
331,대손충당금/NNG;부담/NNG,0.433811279868,N
332,예기/NNG;못하/VX;충격/NNG,0.73091277601,N
333,정책/NNG;효과/NNG;제한적/VAX,0.426185542933,N
334,가사/NNG,0.368263394693,N
335,양호/NNG;증가/NNG,0.386515864788,N
336,통화정책/NNG;상승/NNG,0.406040574351,N
337,전망/NNG;불확실성/NNG;증대/NNG,0.416051195717,N
338,드러날/VV,0.408190178911,N
339,투자/NNG;증가/NNG;축소/NNG,0.385534659595,N
340,우려/NNG;금리/NNG;인상/NNG,0.382393906759,N
342,환헤지ㅇ/NNG,0.442879511967,N
343,리커버리/NNG,0.392931649849,N
344,투자/NNG;환경/NNG;불확실성/NNG,0.408845756036,N
346,재정/NNG;불안/NNG;우려/NNG,0.499967780337,N
347,홍보/NNG,0.400008462124,N
348,제언/NNG,0.436103126884,N
349,금융시장/NNG;변동성/NNG;증대/NNG,0.381011299717,N
350,발행/NNG;확대/NNG;상승/NNG,0.355728257528,N
351,분식회계/NNG,0.382541894587,N
352,부정적/VAX;영향/NNG;가능성/NNG;배제/NNG,0.403431023011,N
353,물가/NNG;국제/NNG;원자재/NNG;가격/NNG;하락/NNG,0.452353251996,N
354,업도/NNG,0.428494987901,N
355,우려/NNG;성장/NNG;경로/NNG;불확실성/NNG,0.281887690962,N
356,주관/NNG,0.341876864746,N
357,세계/NNG;경제/NNG;호조/NNG,0.426883921675,N
358,사후관리/NNG,0.430745879069,N
359,절상/NNG;압력/NNG;강하/VA,0.41416099566,N
360,예상/NNG;양적완화/NNG;축소/NNG,0.385198997473,N
361,연구/NNG,0.547241325398,N
362,따라가/VV,0.416517350295,N
363,동전/NNG,0.415217279632,N
364,금리/NNG;인상/NNG;주택가격/NNG;하락/NNG,0.377820024336,N
365,저하/NNG;가능성/NNG;배제/NNG,0.429151022498,N
366,여지/NNG,0.422859509348,N
367,약화/NNG;회복/NNG,0.226301059564,N
368,평탄/NNG,0.310193786426,N
369,원달러/NNG;저점/NNG,0.409912579509,N
370,수요처/NNG,0.356637909454,N
371,물가/NNG;상승/NNG;압력/NNG;금리/NNG;인상/NNG,0.467622531314,N
372,투자/NNG;수요/NNG;부진/NNG,0.399668542902,N
373,거시/NNG;건전성/NNG;확보/NNG,0.419438119887,N
374,우려/NNG;완화/NNG,0.355576017182,N
375,위축/NNG;안정/NNG,0.399923425164,N
