임재훈,,,,NNP,인명,F,임재훈,*,*,*,*,*
도종환,,,,NNP,인명,F,도종환,*,*,*,*,*
김기선,,,,NNP,인명,F,김기선,*,*,*,*,*
정재호,,,,NNP,인명,T,정재호,*,*,*,*,*
조정식,,,,NNP,인명,F,조정식,*,*,*,*,*
강병원,,,,NNP,인명,F,강병원,*,*,*,*,*
인재근,,,,NNP,인명,F,인재근,*,*,*,*,*
장제원,,,,NNP,인명,F,장제원,*,*,*,*,*
김광림,,,,NNP,인명,F,김광림,*,*,*,*,*
강석호,,,,NNP,인명,T,강석호,*,*,*,*,*
이태규,,,,NNP,인명,T,이태규,*,*,*,*,*
소병훈,,,,NNP,인명,F,소병훈,*,*,*,*,*
김경협,,,,NNP,인명,F,김경협,*,*,*,*,*
박주선,,,,NNP,인명,F,박주선,*,*,*,*,*
송옥주,,,,NNP,인명,T,송옥주,*,*,*,*,*
이만희,,,,NNP,인명,T,이만희,*,*,*,*,*
여상규,,,,NNP,인명,T,여상규,*,*,*,*,*
이상돈,,,,NNP,인명,F,이상돈,*,*,*,*,*
홍문종,,,,NNP,인명,F,홍문종,*,*,*,*,*
김성식,,,,NNP,인명,F,김성식,*,*,*,*,*
김광수,,,,NNP,인명,T,김광수,*,*,*,*,*
김영진,,,,NNP,인명,F,김영진,*,*,*,*,*
홍문표,,,,NNP,인명,T,홍문표,*,*,*,*,*
박명재,,,,NNP,인명,T,박명재,*,*,*,*,*
김관영,,,,NNP,인명,F,김관영,*,*,*,*,*
강훈식,,,,NNP,인명,F,강훈식,*,*,*,*,*
장정숙,,,,NNP,인명,F,장정숙,*,*,*,*,*
정인화,,,,NNP,인명,T,정인화,*,*,*,*,*
김정훈,,,,NNP,인명,F,김정훈,*,*,*,*,*
장석춘,,,,NNP,인명,F,장석춘,*,*,*,*,*
이종걸,,,,NNP,인명,F,이종걸,*,*,*,*,*
이종명,,,,NNP,인명,F,이종명,*,*,*,*,*
이진복,,,,NNP,인명,F,이진복,*,*,*,*,*
김병관,,,,NNP,인명,F,김병관,*,*,*,*,*
권미혁,,,,NNP,인명,F,권미혁,*,*,*,*,*
이정현,,,,NNP,인명,F,이정현,*,*,*,*,*
김진태,,,,NNP,인명,T,김진태,*,*,*,*,*
심상정,,,,NNP,인명,F,심상정,*,*,*,*,*
이석현,,,,NNP,인명,F,이석현,*,*,*,*,*
김현아,,,,NNP,인명,T,김현아,*,*,*,*,*
박병석,,,,NNP,인명,F,박병석,*,*,*,*,*
이은권,,,,NNP,인명,F,이은권,*,*,*,*,*
